Van,An,Binh,Chi,Dung,Em,Phong
41400,11037.61,7911.56,7011.26,11402.04,11186.86,11450.67
41500,11047.61,7921.56,7051.26,11382.04,11016.86,11580.67
41600,11145.23,8021.56,7031.26,11302.04,10966.86,11533.04
41700,11215.23,8091.56,7191.26,11222.04,10886.86,11393.04
41800,11177.10,8221.56,7381.26,11292.04,10629.99,11298.04
41900,11274.15,8111.56,7181.26,11482.04,10582.94,11368.04
42000,11374.15,8091.56,7101.26,11312.04,10712.94,11408.04
42100,11444.15,8041.56,7111.26,11202.04,10692.94,11508.04
42200,11540.07,7991.56,7151.26,11032.04,10642.94,11642.13
42300,11580.07,8061.56,7071.26,11132.04,10532.94,11622.13
42400,11560.07,8101.56,7051.26,11112.04,10572.94,11602.13
42500,11510.07,8201.56,7181.26,10927.04,10462.94,11717.13
42600,11565.07,8121.56,7251.26,10937.04,10472.94,11652.13
42700,11601.56,8255.07,7261.26,10827.04,10302.94,11752.13
42800,11713.61,8430.07,7091.26,10837.04,10285.88,11642.13
42900,11723.61,8320.07,7251.26,10877.04,10205.88,11622.13
43000,11969.16,8355.61,7201.26,10895.96,10245.88,11332.13
43100,10921.21,8395.61,7271.26,10785.96,11160.88,11465.07
43200,10720.16,8285.61,7131.26,11037.02,11170.88,11655.07
43300,10640.16,8475.61,7171.26,10927.02,11270.88,11515.07
43400,10768.54,8397.24,7091.26,10757.02,11415.88,11570.07
43500,10688.54,8287.24,7161.26,10707.02,11485.88,11670.07
43600,10785.78,8327.24,7111.26,10749.77,11675.88,11350.07
43700,10885.78,8307.24,6881.26,10879.77,11745.88,11300.07
43800,10805.78,8377.24,6771.26,10979.77,11575.88,11490.07
43900,10845.78,8357.24,6856.26,11139.77,11510.88,11290.07
44000,10735.78,8487.24,6956.26,11149.77,11550.88,11120.07
44100,10625.78,8437.24,7056.26,11069.77,11530.88,11280.07
44200,10545.78,8417.24,7096.26,11229.77,11480.88,11230.07
44300,10750.78,8397.24,6986.26,11149.77,11490.88,11225.07
44400,10610.78,8377.24,7206.26,11309.77,11470.88,11025.07
44500,10560.78,8297.24,7216.26,11499.77,11300.88,11125.07
44600,10480.78,8337.24,7106.26,11599.77,11340.88,11135.07
44700,10430.78,8257.24,7146.26,11819.77,11320.88,11025.07
44800,10530.78,8147.24,7096.26,11889.77,11180.88,11155.07
44900,10570.78,7977.24,7256.26,11689.77,11400.88,11105.07
45000,10760.78,8047.24,7236.26,11699.77,11290.88,10965.07
45100,10617.73,8119.80,7546.74,11634.77,11165.88,10915.07
45200,10507.73,8279.80,7406.74,11554.77,11325.88,10925.07
45300,10487.73,8619.80,7416.74,11534.77,11185.88,10755.07
45400,10557.73,8479.80,7306.74,11544.77,11375.88,10735.07
45500,10597.73,8339.80,7316.74,11434.77,11535.88,10775.07
45600,10487.73,8409.80,7356.74,11264.77,11815.88,10665.07
45700,10617.73,8449.80,7246.74,11334.77,11795.88,10555.07
45800,10774.21,8489.80,7136.74,11374.77,11809.40,10415.07
45900,10663.16,8289.80,7026.74,11504.77,11879.40,10636.12
46000,10673.16,8299.80,7036.74,11484.77,11799.40,10706.12
46100,10443.16,8249.80,7286.74,11524.77,11809.40,10686.12
46200,10423.16,8229.80,7446.74,11534.77,11639.40,10726.12
46300,10313.16,8209.80,7546.74,11664.77,11529.40,10736.12
46400,10323.16,8339.80,7406.74,11674.77,11539.40,10716.12
46500,10421.73,8259.80,7476.74,11564.77,11549.40,10727.56
46600,10461.73,8149.80,7396.74,11484.77,11649.40,10857.56
46700,10499.35,8039.80,7286.74,11647.15,11869.40,10657.56
46800,10569.35,8109.80,7236.74,11657.15,11789.40,10637.56
46900,10549.35,8329.80,7156.74,11667.15,11649.40,10647.56
47000,10765.46,8283.69,7316.74,11437.15,11569.40,10627.56
47100,10865.46,8413.69,7236.74,11507.15,11369.40,10607.56
47200,10965.46,8483.69,7156.74,11577.15,11409.40,10407.56
47300,10945.46,8523.69,7136.74,11617.15,11299.40,10477.56
47400,10922.13,8503.69,7116.74,11570.47,11279.40,10607.56
47500,10992.13,8333.69,7306.74,11610.47,11289.40,10467.56
47600,10966.43,8373.69,7241.74,11653.99,11271.59,10492.56
47700,10916.13,8443.69,7251.74,11693.99,11221.59,10472.85
47800,10866.13,8663.69,7261.74,11703.99,11291.59,10212.85
47900,10876.13,8553.69,7271.74,11803.99,11271.59,10222.85
48000,11024.46,8511.85,7341.74,11843.99,11221.59,10056.37
48100,10794.46,8431.85,7411.74,12003.99,11141.59,10216.37
48200,10774.46,8351.85,7391.74,11953.99,11151.59,10376.37
48300,10904.46,8481.85,7131.74,11963.99,11281.59,10236.37
48400,11060.38,8371.85,7051.74,11793.99,11351.59,10370.45
48500,11037.06,8351.85,7125.07,11713.99,11331.59,10440.45
48600,11047.06,8421.85,7375.07,11573.99,11371.59,10210.45
48700,11056.95,8311.85,7295.07,11643.99,11501.59,10190.56
48800,11096.95,8351.85,7275.07,11563.99,11511.59,10200.56
48900,11046.95,8361.85,7285.07,11603.99,11401.59,10300.56
49000,11235.52,8221.85,7025.07,11613.99,11623.02,10280.56
49100,11035.52,8441.85,7035.07,11713.99,11663.02,10110.56
49200,10835.52,8331.85,7105.07,11873.99,11823.02,10030.56
49300,10725.52,8221.85,7205.07,11913.99,11743.02,10190.56
49400,10615.52,8261.85,7275.07,11803.99,11873.02,10170.56
49500,10475.52,8361.85,7165.07,11933.99,11913.02,10150.56
49600,10425.52,8311.85,7265.07,11913.99,11923.02,10160.56
49700,10435.52,8291.85,7335.07,11983.99,11903.02,10050.56
49800,10505.52,8271.85,7525.07,11933.99,11883.02,9880.56
49900,10619.08,8236.85,7415.07,11945.42,11863.02,9920.56
50000,10869.08,8126.85,7245.07,11895.42,12053.02,9810.56
50100,10909.08,8076.85,7285.07,11815.42,12123.02,9790.56
50200,10675.65,7996.85,7205.07,12215.42,12044.45,9862.56
50300,10715.65,8126.85,7155.07,12135.42,12084.45,9782.56
50400,10545.65,7956.85,7135.07,12235.42,12424.45,9702.56
50500,9740.65,7936.85,7115.07,12155.42,12554.45,10497.56
50600,9690.65,7886.85,7155.07,12195.42,12564.45,10507.56
50700,9910.65,7986.85,7255.07,11995.42,12544.45,10307.56
50800,9825.71,7876.85,7328.96,11975.42,12674.45,10318.61
50900,9921.25,7706.85,7218.96,11929.88,12744.45,10478.61
51000,9841.25,7596.85,7318.96,11909.88,12844.45,10488.61
51100,9791.25,7726.85,7283.96,11829.88,12974.45,10393.61
51200,9561.25,7766.85,7383.96,11869.88,13014.45,10403.61
51300,9693.81,7804.29,7393.96,11759.88,13024.45,10323.61
51400,9583.81,7874.29,7313.96,11649.88,13214.45,10363.61
51500,9681.06,7857.04,7203.96,11659.88,13044.45,10553.61
51600,9541.06,7837.04,7483.96,11519.88,12994.45,10623.61
51700,9371.06,7937.04,7583.96,11649.88,12794.45,10663.61
51800,9351.06,7977.04,7563.96,11569.88,12924.45,10613.61
51900,9360.00,7837.04,7423.96,11609.88,12965.50,10803.61
52000,9340.00,7787.04,7283.96,11589.88,13245.50,10753.61
52100,9470.00,7677.04,7353.96,11449.88,13225.50,10823.61
52200,9566.30,7627.04,7363.96,11459.88,13209.21,10773.61
52300,9546.30,7547.04,7463.96,11289.88,13309.21,10843.61
52400,9604.44,7647.04,7418.04,11299.88,13203.67,10826.93
52500,9801.84,7541.50,7488.04,11219.88,13138.67,10810.07
52600,9781.84,7401.50,7528.04,11379.88,13178.67,10730.07
52700,9671.84,7381.50,7538.04,11389.88,13368.67,10650.07
52800,9471.84,7361.50,7668.04,11339.88,13288.67,10870.07
52900,9271.84,7251.50,7648.04,11589.88,13208.67,11030.07
53000,9071.84,7441.50,7658.04,11509.88,13278.67,11040.07
53100,9171.84,7391.50,7548.04,11669.88,13288.67,10930.07
53200,9271.84,7461.50,7468.04,11649.88,13388.67,10760.07
53300,9161.74,7531.61,7598.04,11749.88,13218.67,10740.07
53400,9140.49,7572.85,7578.04,11789.88,13108.67,10810.07
53500,9090.39,7582.85,7558.04,11739.88,13028.67,11000.18
53600,9127.90,7472.85,7598.04,11901.12,13038.67,10861.42
53700,9017.90,7482.85,7578.04,11971.12,12958.67,10991.42
53800,9057.90,7522.85,7678.04,11951.12,12938.67,10851.42
53900,9007.90,7502.85,7448.04,12021.12,13158.67,10861.42
54000,8987.90,7512.85,7548.04,12091.12,13048.67,10811.42
54100,8967.90,7522.85,7378.04,12281.12,13028.67,10821.42
54200,8947.90,7532.85,7418.04,12081.12,13158.67,10861.42
54300,9167.90,7392.85,7308.04,12001.12,13288.67,10841.42
54400,9252.90,7342.85,7258.04,11831.12,13433.67,10881.42
54500,9271.25,7685.80,7001.74,11781.12,13533.67,10726.42
54600,9219.82,7487.23,7101.74,11761.12,13573.67,10856.42
54700,9139.82,7407.23,7051.74,11831.12,13553.67,11016.42
54800,9029.82,7357.23,6971.74,11991.12,13593.67,11056.42
54900,9009.82,7427.23,6861.74,11821.12,13753.67,11126.42
55000,9019.82,7497.23,6631.74,11951.12,13673.67,11226.42
55100,9059.82,7537.23,6581.74,11961.12,13773.67,11086.42
55200,9189.82,7607.23,6591.74,11761.12,13723.67,11126.42
55300,9049.82,7692.23,6796.74,11591.12,13733.67,11136.42
55400,9059.82,7702.23,6686.74,11361.12,14043.67,11146.42
55500,9189.82,7712.23,6636.74,11371.12,14083.67,11006.42
55600,9079.82,7722.23,6706.74,11261.12,14153.67,11076.42
55700,9104.82,7582.23,6776.74,11181.12,14148.67,11206.42
55800,9114.82,7622.23,6816.74,10951.12,14218.67,11276.42
55900,9093.39,7723.66,6916.74,10841.12,14318.67,11106.42
56000,9163.39,7673.66,6866.74,10941.12,14238.67,11116.42
56100,9441.12,7625.93,6816.74,10921.12,14128.67,11066.42
56200,9361.12,7635.93,7006.74,10841.12,13988.67,11166.42
56300,9461.12,7675.93,6866.74,10761.12,13878.67,11356.42
56400,9565.39,7951.66,6756.74,10651.12,13888.67,11186.42
56500,9630.93,7901.66,6771.20,10781.12,13928.67,10986.42
56600,9520.93,7941.66,6661.20,10851.12,13848.67,11176.42
56700,9587.31,7951.66,6701.20,10834.74,13798.67,11126.42
56800,9624.82,7931.66,6862.63,10724.74,13688.67,11167.47
56900,9634.82,7971.66,6782.63,10614.74,13728.67,11267.47
57000,9646.06,7920.42,6852.63,10564.74,13678.67,11337.47
57100,9596.06,7990.42,6772.63,10544.74,13838.67,11257.47
57200,9426.06,8060.42,7082.63,10434.74,13758.67,11237.47
57300,9406.06,8100.42,7122.63,10384.74,13738.67,11247.47
57400,9356.06,8140.42,7042.63,10604.74,13628.67,11227.47
57500,9246.06,7985.42,7262.63,10464.74,13863.67,11177.47
57600,9346.06,7965.42,7302.63,10504.74,13753.67,11127.47
57700,9325.39,7855.42,7402.63,10424.74,13793.67,11198.15
57800,9365.39,8015.42,7412.63,10284.74,13623.67,11298.15
57900,9343.58,7937.23,7392.63,10204.74,13723.67,11398.15
58000,9263.58,7947.23,7432.63,10124.74,13703.67,11528.15
58100,9393.58,7957.23,7292.63,10044.74,13773.67,11538.15
58200,9250.63,8087.23,7302.63,9934.74,13906.61,11518.15
58300,9260.53,8157.23,7372.63,9974.74,13796.72,11438.15
58400,9255.53,8287.23,7202.63,9924.74,13686.72,11643.15
58500,9235.53,8117.23,7182.63,9814.74,13816.72,11833.15
58600,9215.53,8097.23,6892.63,10064.74,14036.72,11693.15
58700,9195.53,8017.23,6902.63,10194.74,14046.72,11643.15
58800,9235.53,8147.23,6762.63,10264.74,14086.72,11503.15
58900,9245.53,8187.23,6772.63,10349.74,14006.72,11438.15
59000,9165.53,8047.23,6662.63,10569.74,13986.72,11568.15
59100,9355.53,8237.23,6492.63,10639.74,13906.72,11368.15
59200,9422.58,8157.23,6412.63,10799.74,13916.72,11291.09
59300,9432.58,8137.23,6302.63,10809.74,14166.72,11151.09
59400,9232.47,8177.34,6582.63,10699.74,14416.72,10891.09
59500,9448.20,8187.34,6506.90,10559.74,14336.72,10961.09
59600,9518.20,8017.34,6756.90,10419.74,14316.72,10971.09
59700,9468.20,8222.34,6646.90,10444.74,14386.72,10831.09
59800,9403.20,8232.34,6536.90,10364.74,14546.72,10916.09
59900,9456.20,8002.34,6456.90,10404.74,14753.72,10926.09
60000,9821.74,7832.34,6496.90,10419.20,14583.72,10846.09
60100,9740.88,7872.34,6596.90,10309.20,14683.72,10796.96
60200,9930.88,7882.34,6696.90,10259.20,14633.72,10596.96
60300,9845.37,8042.34,6860.61,10149.20,14613.72,10488.77
60400,9825.37,8172.34,6870.61,10129.20,14653.72,10348.77
60500,10044.12,8122.34,6880.61,10109.20,14544.96,10298.77
60600,10084.12,7922.34,6800.61,10209.20,14794.96,10188.77
60700,10182.31,7844.15,6870.61,10159.20,14774.96,10168.77
60800,10042.31,7824.15,6940.61,10319.20,14874.96,9998.77
60900,9962.31,7954.15,6950.61,10449.20,14824.96,9858.77
61000,10062.31,7874.15,6840.61,10339.20,14594.96,10288.77
61100,10042.31,7974.15,6790.61,10364.20,14574.96,10253.77
61200,9827.31,7909.15,6830.61,10434.20,14674.96,10323.77
61300,9777.31,7919.15,6960.61,10324.20,14654.96,10363.77
61400,9907.31,7959.15,6910.61,10214.20,14694.96,10313.77
61500,9916.64,7879.15,6920.61,10104.20,14645.64,10533.77
61600,10136.64,7949.15,6840.61,9994.20,14505.64,10573.77
61700,10169.61,7959.15,7004.88,9974.20,14425.64,10466.52
61800,10029.61,7909.15,6984.88,10044.20,14615.64,10416.52
61900,10039.61,7799.15,6964.88,9934.20,14775.64,10486.52
62000,10019.61,7869.15,6989.88,10064.20,14635.64,10421.52
62100,10119.61,7699.15,6939.88,10074.20,14645.64,10521.52
62200,10129.61,7589.15,6769.88,10114.20,14805.64,10591.52
62300,9929.61,7509.15,6839.88,10124.20,15055.64,10541.52
62400,9939.61,7474.15,6999.88,10089.20,14975.64,10521.52
62500,10260.34,7289.15,7009.88,9829.20,15045.64,10565.79
62600,10120.34,7359.15,6989.88,9899.20,15085.64,10545.79
62700,10040.23,7279.15,7149.88,10089.31,15005.64,10435.79
62800,10020.23,7379.15,7099.88,10129.31,15015.64,10355.79
62900,9970.23,7539.15,6959.88,10184.31,15100.64,10245.79
63000,9890.23,7699.15,6969.88,10194.31,15080.64,10165.79
63100,9900.23,7769.15,6919.88,10084.31,14850.64,10475.79
63200,9910.23,7719.15,6869.88,10064.31,14920.64,10515.79
63300,9890.23,7609.15,6879.88,10344.31,14870.64,10405.79
63400,9840.23,7589.15,6739.88,10474.31,14790.64,10565.79
63500,9940.23,7359.15,6779.88,10364.31,14920.64,10635.79
63600,9890.23,7339.15,6759.88,10224.31,14900.64,10885.79
63700,10020.23,7409.15,6679.88,10084.31,14910.64,10895.79
63800,10058.42,7479.15,6809.88,10126.12,14740.64,10785.79
63900,10094.34,7549.15,6819.88,10016.12,14780.64,10739.88
64000,10134.34,7589.15,6739.88,9966.12,14850.64,10719.88
64100,10204.34,7509.15,6779.88,9826.12,14800.64,10879.88
64200,9944.34,7699.15,6549.88,9956.12,14870.64,10979.88
64300,9954.34,7469.15,6589.88,9936.12,14940.64,11109.88
64400,9844.34,7419.15,6599.88,9916.12,14950.64,11269.88
64500,9734.34,7489.15,6729.88,9656.12,14990.64,11399.88
64600,9713.10,7593.72,6751.55,9561.12,14910.64,11469.88
64700,9873.10,7663.72,6671.55,9421.12,14890.64,11479.88
64800,9793.10,7463.72,6651.55,9521.12,14990.64,11579.88
64900,9803.10,7353.72,6811.55,9471.12,14970.64,11589.88
65000,9930.42,7483.72,6791.55,9362.55,14980.64,11451.12
65100,9998.80,7463.72,6711.55,9372.55,15080.64,11372.74
65200,9828.80,7443.72,7051.55,9502.55,14910.64,11262.74
65300,9688.80,7363.72,7121.55,9662.55,14830.64,11332.74
65400,9548.80,7283.72,7011.55,9762.55,14900.64,11492.74
65500,9648.51,7173.72,6841.55,9742.55,15150.64,11443.04
65600,9654.05,7063.72,6941.55,9817.01,15010.64,11513.04
65700,9574.05,7103.72,6861.55,9917.01,15140.64,11403.04
65800,9494.05,7023.72,6781.55,10047.01,15180.64,11473.04
65900,9324.05,7093.72,6761.55,10177.01,15100.64,11543.04
66000,9259.05,7118.72,6771.55,10127.01,15050.64,11673.04
66100,9299.05,7338.72,6781.55,9927.01,15090.64,11563.04
66200,9307.05,7123.72,7153.55,9772.01,15100.64,11543.04
66300,9342.97,7043.72,6923.55,9876.09,15170.64,11643.04
66400,9378.70,6903.72,6993.55,9856.09,15330.64,11537.31
66500,9443.56,6793.72,7155.93,9716.09,15313.39,11577.31
66600,9543.56,6878.72,7105.93,9696.09,15188.39,11587.31
66700,9522.40,7008.72,7356.61,9496.09,15198.39,11417.79
66800,9682.40,6868.72,7516.61,9326.09,15148.39,11457.79
66900,9540.97,6848.72,7586.61,9397.52,15128.39,11497.79
67000,9475.97,7008.72,7536.61,9197.52,15213.39,11567.79
67100,9275.97,7153.72,7456.61,9387.52,15148.39,11577.79
67200,9285.97,7103.72,7556.61,9307.52,15188.39,11557.79
67300,9085.97,7263.72,7476.61,9347.52,15228.39,11597.79
67400,9035.97,7453.72,7426.61,9087.52,15418.39,11577.79
67500,9105.97,7343.72,7346.61,9187.52,15398.39,11617.79
67600,9025.97,7323.72,7476.61,9017.52,15588.39,11567.79
67700,9155.97,7303.72,7426.61,9177.52,15358.39,11577.79
67800,9285.97,7103.72,7556.61,9277.52,15218.39,11557.79
67900,9355.97,7023.72,7626.61,9107.52,15318.39,11567.79
68000,9455.97,7483.72,7531.61,8967.52,15088.39,11472.79
68100,9555.97,7493.72,7361.61,8887.52,15038.39,11662.79
68200,9625.97,7323.72,7431.61,8777.52,15078.39,11762.79
68300,9605.97,7123.72,7381.61,8877.52,15088.39,11922.79
68400,9585.97,7043.72,7481.61,9067.52,15098.39,11722.79
68500,9805.97,7083.72,7356.61,9107.52,14853.39,11792.79
68600,9904.16,7095.53,7351.61,9027.52,14743.39,11877.79
68700,10079.16,7030.53,7301.61,9202.52,14648.39,11737.79
68800,10224.16,6950.53,7251.61,9167.52,14568.39,11837.79
68900,10024.16,6735.53,7261.61,9597.52,14443.39,11937.79
69000,9854.16,6775.53,7271.61,9667.52,14453.39,11977.79
69100,9894.16,6695.53,7521.61,9497.52,14313.39,12077.79
69200,9754.16,6765.53,7411.61,9327.52,14383.39,12357.79
69300,9794.16,6655.53,7331.61,9157.52,14573.39,12487.79
69400,9714.16,6860.53,7116.61,8987.52,14853.39,12467.79
69500,9784.16,6660.53,7036.61,9027.52,14803.39,12687.79
69600,10004.16,6700.53,6986.61,8947.52,14753.39,12607.79
69700,10191.59,6560.53,7056.61,8987.52,14585.96,12617.79
69800,10166.27,6600.53,7190.31,8877.52,14685.96,12479.41
69900,10086.16,6640.53,7215.31,8947.52,14725.96,12384.52
70000,10006.16,6800.53,7075.31,8927.52,14765.96,12424.52
70100,10016.16,6720.53,6995.31,9147.52,14955.96,12164.52
70200,9906.16,6820.53,6915.31,9247.52,14905.96,12204.52
70300,9856.16,6890.53,6835.31,9287.52,15005.96,12124.52
70400,10103.59,6720.53,6817.87,9387.52,14895.96,12074.52
70500,9873.59,6850.53,6797.87,9247.52,15025.96,12204.52
70600,9853.59,6845.53,6807.87,9197.52,15185.96,12109.52
70700,10010.27,6795.53,6847.87,9057.52,15135.96,12152.85
70800,10170.27,6685.53,6707.87,9217.52,15055.96,12162.85
70900,10251.00,6639.80,6762.87,9227.52,15020.96,12097.85
71000,10351.00,6679.80,6592.87,9057.52,15330.96,11987.85
71100,10327.30,6629.80,6482.87,9217.52,15404.66,11937.85
71200,10337.30,6729.80,6372.87,9107.52,15534.66,11917.85
71300,10167.30,6829.80,6562.87,9177.52,15304.66,11957.85
71400,10327.30,6899.80,6572.87,9007.52,15404.66,11787.85
71500,10427.30,6759.80,6627.87,9107.52,15264.66,11812.85
71600,10497.30,6739.80,6547.87,8997.52,15424.66,11792.85
71700,10657.30,6704.80,6407.87,9247.52,15419.66,11562.85
71800,10697.30,6624.80,6267.87,9317.52,15459.66,11632.85
71900,10737.30,6754.80,6127.87,9267.52,15469.66,11642.85
72000,10927.30,6644.80,6257.87,9217.52,15479.66,11472.85
72100,10847.30,6624.80,6057.87,9287.52,15609.66,11572.85
72200,10766.89,6694.80,5977.87,9357.52,15619.77,11583.14
72300,10716.89,6644.80,6047.87,9307.52,15539.77,11743.14
72400,10725.08,6624.80,6057.87,9199.33,15549.77,11843.14
72500,10615.08,6574.80,6067.87,9149.33,15709.77,11883.14
72600,10535.08,6554.80,6167.87,9099.33,15779.77,11863.14
72700,10605.08,6654.80,6207.87,9229.33,15609.77,11693.14
72800,10600.08,6544.80,6067.87,9569.33,15544.77,11673.14
72900,10610.08,6644.80,6137.87,9429.33,15524.77,11653.14
73000,10770.08,6594.80,6102.87,9484.33,15564.77,11483.14
73100,10833.24,6544.80,6127.87,9558.04,15454.77,11481.28
73200,10873.24,6554.80,6197.87,9478.04,15464.77,11431.28
73300,10976.38,6651.66,6237.87,9308.04,15324.77,11501.28
73400,11041.92,6391.66,6342.33,9318.04,15394.77,11511.28
73500,11058.08,6255.55,6307.33,9388.04,15394.72,11596.28
73600,11166.33,6240.12,6137.33,9293.04,15254.72,11908.47
73700,11086.33,6010.12,6177.33,9543.04,15174.72,12008.47
73800,11092.44,5780.12,6037.33,9556.93,15454.72,12078.47
73900,11133.87,5968.69,6047.33,9476.93,15404.72,11968.47
74000,10993.87,6038.69,6087.33,9456.93,15294.72,12128.47
74100,10943.87,6108.69,5917.33,9586.93,15304.72,12138.47
74200,10953.87,5968.69,5897.33,9656.93,15434.72,12088.47
74300,11170.35,5828.69,5847.33,9550.44,15534.72,12068.47
74400,11060.35,5958.69,5887.33,9740.44,15364.72,11988.47
74500,11010.35,5968.69,5897.33,9840.44,15314.72,11968.47
74600,10870.35,6008.69,6027.33,9910.44,15204.72,11978.47
74700,10730.35,6183.69,5887.33,9980.44,15169.72,12048.47
74800,10800.35,6073.69,6017.33,10050.44,15329.72,11728.47
74900,10897.11,6266.93,5937.33,10150.44,15159.72,11588.47
75000,10697.11,6156.93,5827.33,10340.44,15289.72,11688.47
75100,10497.11,6376.93,5717.33,10440.44,15359.72,11608.47
75200,10447.11,6386.93,5727.33,10480.44,15459.72,11498.47
75300,10337.11,6516.93,5737.33,10490.44,15379.72,11538.47
75400,10167.11,6646.93,5687.33,10290.44,15509.72,11698.47
75500,10237.11,6776.93,5427.33,10120.44,15669.72,11768.47
75600,10247.11,6636.93,5437.33,9980.44,15769.72,11928.47
75700,10252.73,6618.55,5435.09,10005.44,15719.72,11968.47
75800,10277.73,6658.55,5520.09,9835.44,15714.72,11993.47
75900,10501.82,6664.47,5470.09,9995.44,15514.72,11853.47
76000,10511.82,6554.47,5600.09,9975.44,15644.72,11713.47
76100,10491.82,6654.47,5640.09,9985.44,15564.72,11663.47
76200,10531.82,6694.47,5740.09,9995.44,15454.72,11583.47
76300,10541.82,6824.47,5630.09,10065.44,15434.72,11503.47
76400,10431.82,6654.47,5700.09,10135.44,15594.72,11483.47
76500,10381.82,6424.47,5590.09,10235.44,15784.72,11583.47
76600,10331.82,6344.47,5660.09,10065.44,16124.72,11473.47
76700,10191.82,6264.47,5460.09,10075.44,16434.72,11573.47
76800,10201.82,6304.47,5590.09,10115.44,16204.72,11583.47
76900,10061.82,6104.47,5600.09,10425.44,16304.72,11503.47
77000,9981.82,6054.47,5700.09,10465.44,16314.72,11483.47
77100,10171.71,6064.58,5560.09,10625.44,16264.72,11313.47
77200,9881.71,6224.58,5585.09,10590.44,16304.72,11413.47
77300,9981.71,6144.58,5355.09,10780.44,16254.72,11483.47
77400,9886.71,6214.58,5305.09,10685.44,16354.72,11553.47
77500,9925.84,6044.58,5285.09,10710.44,16290.58,11743.47
77600,9875.84,6084.58,5355.09,10690.44,16210.58,11783.47
77700,9975.84,5974.58,5275.09,10610.44,16400.58,11763.47
77800,9835.84,5954.58,5345.09,10680.44,16230.58,11953.47
77900,9605.84,6144.58,5415.09,10720.44,16090.58,12023.47
78000,9495.84,6154.58,5545.09,10760.44,16040.58,12003.47
78100,9626.60,6190.69,5405.09,10830.44,15960.58,11986.60
78200,9813.28,6140.69,5355.09,10840.44,15913.90,11936.60
78300,9763.28,6090.69,5365.09,11030.44,15803.90,11946.60
78400,9653.28,6070.69,5525.09,10920.44,15963.90,11866.60
78500,9813.28,6020.69,5655.09,10780.44,15793.90,11936.60
78600,9883.28,6060.69,5695.09,10820.44,15683.90,11856.60
78700,9653.28,6160.69,5855.09,10950.44,15513.90,11866.60
78800,9841.47,6260.69,5745.09,10660.44,15525.71,11966.60
78900,9818.52,6213.63,5755.09,10610.44,15775.71,11826.60
79000,9832.41,6309.74,5645.09,10680.44,15815.71,11716.60
79100,10014.25,6109.74,5595.09,10758.60,15975.71,11546.60
79200,9931.87,6239.74,5575.09,10770.98,16075.71,11406.60
79300,10118.36,6159.74,5675.09,10660.98,16179.23,11206.60
79400,10098.36,5899.74,5775.09,10730.98,16159.23,11336.60
79500,10138.36,5729.74,5785.09,10800.98,16319.23,11226.60
79600,10148.36,5739.74,5705.09,10900.98,16119.23,11386.60
79700,10278.36,5749.74,5625.09,10670.98,16189.23,11486.60
79800,10108.36,5879.74,5665.09,10470.98,16199.23,11676.60
79900,10148.36,5709.74,5765.09,10690.98,16119.23,11566.60
80000,10218.36,5689.74,5625.09,10640.98,16159.23,11666.60
80100,10288.36,5699.74,5515.09,10620.98,16229.23,11646.60
80200,10117.87,5709.74,5735.09,10570.98,16209.71,11656.60
80300,9887.87,5569.74,5835.09,10640.98,16279.71,11786.60
80400,9837.87,5759.74,5845.09,10650.98,16229.71,11676.60
80500,9787.87,5799.74,5735.09,10720.98,16149.71,11806.60
80600,9976.06,5719.74,5685.09,10670.98,16219.71,11728.41
80700,9775.95,5879.85,5875.09,10440.98,16229.71,11798.41
80800,9785.95,5799.85,5945.09,10420.98,16269.71,11778.41
80900,9795.85,5839.85,5955.09,10220.98,16369.71,11818.52
81000,9685.85,5699.85,5905.09,10230.98,16469.71,12008.52
81100,9840.71,5589.85,6038.41,10332.79,16299.71,11898.52
81200,9850.71,5659.85,6018.41,10252.79,16429.71,11788.52
81300,9828.14,5582.42,6238.41,10172.79,16409.71,11768.52
81400,9778.14,5502.42,6428.41,10182.79,16419.71,11688.52
81500,9878.14,5332.42,6378.41,10342.79,16519.71,11548.52
81600,9857.47,5492.42,6389.09,10232.79,16349.71,11678.52
81700,9897.47,5352.42,6429.09,10182.79,16539.71,11598.52
81800,9812.71,5482.42,6322.60,10252.79,16489.71,11639.76
81900,9942.71,5492.42,6362.60,10232.79,16409.71,11559.76
82000,10072.71,5322.42,6462.60,10212.79,16449.71,11479.76
82100,10052.04,5392.42,6382.60,10192.79,16459.71,11520.44
82200,9882.04,5522.42,6512.60,10022.79,16589.71,11470.44
82300,9952.04,5322.42,6522.60,10227.79,16554.71,11420.44
82400,9872.04,5482.42,6412.60,10117.79,16744.71,11370.44
82500,9732.04,5402.42,6452.60,10067.79,16994.71,11350.44
82600,9652.04,5322.42,6462.60,10197.79,16884.71,11480.44
82700,9692.04,5242.42,6322.60,10387.79,17044.71,11310.44
82800,9792.04,5132.42,6242.60,10487.79,17144.71,11200.44
82900,9652.04,5322.42,6222.60,10497.79,17214.71,11090.44
83000,9722.04,5332.42,6352.60,10387.79,17134.71,11070.44
83100,9612.04,5252.42,6332.60,10607.79,17114.71,11080.44
83200,9577.04,5172.42,6282.60,10497.79,17334.71,11135.44
83300,9570.23,5257.42,6082.60,10507.79,17466.52,11115.44
83400,9550.23,5357.42,6092.60,10352.79,17476.52,11170.44
83500,9500.23,5397.42,6252.60,10272.79,17486.52,11090.44
83600,9540.23,5557.42,6382.60,10162.79,17286.52,11070.44
